"Category","Measure","Definition","Source","Years"
"Length of Life","Premature death*","Years of potential life lost before age 75 per 100,000 population (age-adjusted).","National Center for Health Statistics - Mortality Files","2017-2019"
"Quality of Life","Poor or fair health","Percentage of adults reporting fair or poor health (age-adjusted).","Behavioral Risk Factor Surveillance System","2018"
NA,"Poor physical health days","Average number of physically unhealthy days reported in past 30 days (age-adjusted).","Behavioral Risk Factor Surveillance System","2018"
NA,"Poor mental health days","Average number of mentally unhealthy days reported in past 30 days (age-adjusted).","Behavioral Risk Factor Surveillance System","2018"
NA,"Low birthweight*","Percentage of live births with low birthweight (< 2,500 grams).","National Center for Health Statistics - Natality files","2013-2019"
"Tobacco Use","Adult smoking","Percentage of adults who are current smokers (age-adjusted).","Behavioral Risk Factor Surveillance System","2018"
"Diet and Exercise","Adult obesity","Percentage of the adult population (age 20 and older) that reports a body mass index (BMI) greater than or equal to 30 kg/m2.","United States Diabetes Surveillance System","2017"
NA,"Food environment index","Index of factors that contribute to a healthy food environment, from 0 (worst) to 10 (best).","USDA Food Environment Atlas, Map the Meal Gap from Feeding America","2015 & 2018"
NA,"Physical inactivity","Percentage of adults age 20 and over reporting no leisure-time physical activity.","United States Diabetes Surveillance System","2017"
NA,"Access to exercise opportunities","Percentage of population with adequate access to locations for physical activity.","Business Analyst, Delorme map data, ESRI, & US Census Tigerline Files","2010 & 2019"
"Alcohol and Drug Use","Excessive drinking","Percentage of adults reporting binge or heavy drinking (age-adjusted).","Behavioral Risk Factor Surveillance System","2018"
NA,"Alcohol-impaired driving deaths","Percentage of driving deaths with alcohol involvement.","Fatality Analysis Reporting System","2015-2019"
"Sexual Activity","Sexually transmitted infections","Number of newly diagnosed chlamydia cases per 100,000 population.","National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention","2018"
NA,"Teen births*","Number of births per 1,000 female population ages 15-19.","National Center for Health Statistics - Natality files","2013-2019"
"Access to Care","Uninsured","Percentage of population under age 65 without health insurance.","Small Area Health Insurance Estimates","2018"
NA,"Primary care physicians","Ratio of population to primary care physicians.","Area Health Resource File/American Medical Association","2018"
NA,"Dentists","Ratio of population to dentists.","Area Health Resource File/National Provider Identification file","2019"
NA,"Mental health providers","Ratio of population to mental health providers.","CMS, National Provider Identification","2020"
"Quality of Care","Preventable hospital stays*","Rate of hospital stays for ambulatory-care sensitive conditions per 100,000 Medicare enrollees.","Mapping Medicare Disparities Tool","2018"
NA,"Mammography screening*","Percentage of female Medicare enrollees ages 65-74 that received an annual mammography screening.","Mapping Medicare Disparities Tool","2018"
NA,"Flu vaccinations*","Percentage of fee-for-service (FFS) Medicare enrollees that had an annual flu vaccination.","Mapping Medicare Disparities Tool","2018"
"Education","High school completion","Percentage of adults ages 25 and over with a high school diploma or equivalent.","American Community Survey, 5-year estimates","2015-2019"
NA,"Some college","Percentage of adults ages 25-44 with some post-secondary education.","American Community Survey, 5-year estimates","2015-2019"
"Employment","Unemployment","Percentage of population ages 16 and older unemployed but seeking work.","Bureau of Labor Statistics","2019"
"Income","Children in poverty*","Percentage of people under age 18 in poverty.","Small Area Income and Poverty Estimates","2019"
NA,"Income inequality","Ratio of household income at the 80th percentile to income at the 20th percentile.","American Community Survey, 5-year estimates","2015-2019"
"Family and Social Support","Children in single-parent households","Percentage of children that live in a household headed by single parent.","American Community Survey, 5-year estimates","2015-2019"
NA,"Social associations","Number of membership associations per 10,000 population.","County Business Patterns","2018"
"Community Safety","Violent crime","Number of reported violent crime offenses per 100,000 population.","Uniform Crime Reporting - FBI","2014 & 2016"
NA,"Injury deaths*","Number of deaths due to injury per 100,000 population.","National Center for Health Statistics - Mortality Files","2015-2019"
"Air and Water Quality","Air pollution - particulate matter","Average daily density of fine particulate matter in micrograms per cubic meter (PM2.5).","Environmental Public Health Tracking Network","2016"
NA,"Drinking water violations","Indicator of the presence of health-related drinking water violations. 'Yes' indicates the presence of a violation, 'No' indicates no violation.","Safe Drinking Water Information System","2019"
"Housing and Transit","Severe housing problems","Percentage of households with at least 1 of 4 housing problems: overcrowding, high housing costs, lack of kitchen facilities, or lack of plumbing facilities.","Comprehensive Housing Affordability Strategy (CHAS) data","2013-2017"
NA,"Driving alone to work*","Percentage of the workforce that drives alone to work.","American Community Survey, 5-year estimates","2015-2019"
NA,"Long commute - driving alone","Among workers who commute in their car alone, the percentage that commute more than 30 minutes.","American Community Survey, 5-year estimates","2015-2019"
NA,"*Indicates subgroup data by race and ethnicity is available.",NA,NA,NA
